Name,Location,Study Program,Sector,Rating,new_Rating,Cities
Global System Of Integrated Studies School And College,Pitras Bukhari Road H-8/1 Islamabad.,FSc Pre-Engineering Fsc Pre-Medical ICS FA General ScienceICom FA A Level,Private,0*,0*,Islamabad
Govt Boys Degree College Rahwali Gujranwala,Govt Boys Degree College Rahwali Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Public,5*,5*,Gujrawala
Govt Institute of Commerce Baghbanpura Lahore,"3-Saeed Block, Canal Bank Housing Scheme, Fateh Garh, Hurbanspura, Lahore",Diploma in Commerce,Private,0*,0*,Lahore
Govt Degree College for Women Lalian District Chiniot,Lalian District Chiniot,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Public,0*,0*,Chiniot
"Govt. Institute of Commerce, Narang Mandi, District Sheikhupura","Govt. Institute of Commerce, Narang Mandi",FA ICs Computer Science Icom FSc Pre Engineering Fsc Pre Medical,Private,0*,0*,Mandi
Govt College For Women Dera Ghazi Khan,Govt College For Women Dera Ghazi Khan,FA Fsc Pre-Medical FSc Pre-Engineering ICS FA General Science ICom,Public,0*,0*,Dera Ghazi Khan 
Govt College for Women Tandlianwala District Faisalabad,Govt College for Women Tandlianwala Distt Faisalabad,FA Fsc Pre-Medical FSc Pre-Engineering ICS FA General Science ICom,Public,4.5*,4*,Faisalabad
Govt Post Graduate College For Women Kasur,Govt Post Graduate College For Women Kasur,FA Fsc Pre-Engineering FSc Pre-Medical ICS,Public,0*,0*,Kasur
Govt Degree College Sehnsa AJK,"Sehnsa, District Kotli, Azad Jammu & Kashmir",FA ICS Computer Science ICom FSc Pre Medical FSc Pre Engineering,Private,0*,0*,Kashmir
Govt Degree College Boys Sarai Alamgir Gujrat,Govt Degree College Boys Sarai Alamgir Gujrat,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,5*,5*,Gujrat
International Institute Of Technology Multan,"BCG Chowk Wehari Road, Multan",FSc Pre Engineering ICs Computer Science ICom,Private,0*,0*,Multan
Govt Degree College For Women Wanhar Buchal Kalan Kallar Kahar Chakwal,Govt Degree College For Women Wanhar Buchal Kalan Kallar Kahar Chakwal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,0*,0*,Chakwal
Govt Degree College For Women Ahmadpur Sharqia Bahawalpur,Govt Degree College For Women Ahmadpur Sharqia Bahawalpur,FAFSc Pre Enginerring Fsc Pre Medical ICs Computer Science FA General Science,Public,5*,5*,Bahawalpur
Anam Public School and Girls College Rawalpindi Cantt,"Anam Public School and Girls College, Street No.1, Rawal Town, Near Dhoke Syedan Road, Rawalpindi Cantt",FA FSc Pre Engineering FSc Pre Medical ICS ICom,Private,0*,0*,Rawalpindi
